ID,注意事項
1,びん類・缶類・布類・電気コード類・乾電池類・蛍光管電球類・食用油・小型家電・破砕埋立粗大・ペットボトル・紙類(新聞チラシ・段ボール・雑誌その他紙類)・飲料等パック プラ製容器包装は含みません
2,
